NewValues are red flaot: 0.560784, green float: 0.494118, blue float: 0.392157
NewValues are red flaot: 0.819608, green float: 0.713726, blue float: 0.639216
NewValues are red flaot: 0.686275, green float: 0.588235, blue float: 0.501961
NewValues are red flaot: 0.631373, green float: 0.572549, blue float: 0.443137
NewValues are red flaot: 0.682353, green float: 0.658824, blue float: 0.517647
NewValues are red flaot: 0.635294, green float: 0.623529, blue float: 0.501961
NewValues are red flaot: 0.611765, green float: 0.607843, blue float: 0.498039
NewValues are red flaot: 0.639216, green float: 0.635294, blue float: 0.517647
NewValues are red flaot: 0.552941, green float: 0.549020, blue float: 0.427451
NewValues are red flaot: 0.513726, green float: 0.501961, blue float: 0.380392
NewValues are red flaot: 0.580392, green float: 0.568627, blue float: 0.439216
NewValues are red flaot: 0.549020, green float: 0.529412, blue float: 0.411765
NewValues are red flaot: 0.494118, green float: 0.466667, blue float: 0.352941
NewValues are red flaot: 0.560784, green float: 0.521569, blue float: 0.423529
NewValues are red flaot: 0.631373, green float: 0.584314, blue float: 0.498039
NewValues are red flaot: 0.549020, green float: 0.478431, blue float: 0.423529
NewValues are red flaot: 0.282353, green float: 0.203922, blue float: 0.168627
NewValues are red flaot: 0.066667, green float: 0.000000, blue float: 0.000000
NewValues are red flaot: 0.231373, green float: 0.129412, blue float: 0.141176
NewValues are red flaot: 0.529412, green float: 0.411765, blue float: 0.443137
NewValues are red flaot: 0.494118, green float: 0.407843, blue float: 0.415686
NewValues are red flaot: 0.376471, green float: 0.329412, blue float: 0.274510
NewValues are red flaot: 0.349020, green float: 0.329412, blue float: 0.243137
NewValues are red flaot: 0.349020, green float: 0.317647, blue float: 0.243137
NewValues are red flaot: 0.062745, green float: 0.019608, blue float: 0.000000
NewValues are red flaot: 0.282353, green float: 0.219608, blue float: 0.160784
NewValues are red flaot: 0.325490, green float: 0.254902, blue float: 0.200000
NewValues are red flaot: 0.470588, green float: 0.384314, blue float: 0.333333
NewValues are red flaot: 0.356863, green float: 0.270588, blue float: 0.219608
NewValues are red flaot: 0.258824, green float: 0.184314, blue float: 0.129412
NewValues are red flaot: 0.447059, green float: 0.376471, blue float: 0.321569
NewValues are red flaot: 0.486275, green float: 0.435294, blue float: 0.372549
NewValues are red flaot: 0.235294, green float: 0.200000, blue float: 0.133333
NewValues are red flaot: 0.223529, green float: 0.203922, blue float: 0.125490
NewValues are red flaot: 0.192157, green float: 0.188235, blue float: 0.105882
NewValues are red flaot: 0.450980, green float: 0.458824, blue float: 0.372549
NewValues are red flaot: 0.498039, green float: 0.505882, blue float: 0.423529
NewValues are red flaot: 0.258824, green float: 0.243137, blue float: 0.196078
NewValues are red flaot: 0.301961, green float: 0.278431, blue float: 0.231373
NewValues are red flaot: 0.254902, green float: 0.231373, blue float: 0.184314
NewValues are red flaot: 0.196078, green float: 0.172549, blue float: 0.109804
NewValues are red flaot: 0.258824, green float: 0.231373, blue float: 0.168627
NewValues are red flaot: 0.376471, green float: 0.349020, blue float: 0.274510
NewValues are red flaot: 0.458824, green float: 0.435294, blue float: 0.349020
NewValues are red flaot: 0.501961, green float: 0.478431, blue float: 0.376471
NewValues are red flaot: 0.682353, green float: 0.662745, blue float: 0.549020
NewValues are red flaot: 0.643137, green float: 0.623529, blue float: 0.498039
NewValues are red flaot: 0.388235, green float: 0.364706, blue float: 0.223529
NewValues are red flaot: 0.509804, green float: 0.490196, blue float: 0.333333
NewValues are red flaot: 0.521569, green float: 0.501961, blue float: 0.345098
NewValues are red flaot: 0.478431, green float: 0.458824, blue float: 0.294118
NewValues are red flaot: 0.490196, green float: 0.474510, blue float: 0.298039
NewValues are red flaot: 0.486275, green float: 0.458824, blue float: 0.294118
NewValues are red flaot: 0.533333, green float: 0.478431, blue float: 0.341176
NewValues are red flaot: 0.435294, green float: 0.372549, blue float: 0.243137
NewValues are red flaot: 0.588235, green float: 0.521569, blue float: 0.403922
NewValues are red flaot: 0.470588, green float: 0.403922, blue float: 0.294118
